2026-01-27  16:58:19.928 | info | 4p1sozwpapfp2k |   File "/usr/local/lib/python3.11/dist-packages/huggingface_hub/utils/_validators.py", line 89, in _inner_fn\n
2026-01-27  16:58:19.928 | info | 4p1sozwpapfp2k |                     ^^^^^^^^^^^^^\n
2026-01-27  16:58:19.928 | info | 4p1sozwpapfp2k |     cached_folder = cls.download(\n
2026-01-27  16:58:19.928 | info | 4p1sozwpapfp2k |   File "/usr/local/lib/python3.11/dist-packages/diffusers/pipelines/pipeline_utils.py", line 847, in from_pretrained\n
2026-01-27  16:58:19.928 | info | 4p1sozwpapfp2k |            ^^^^^^^^^^^^^^^^^^^\n
2026-01-27  16:58:19.928 | info | 4p1sozwpapfp2k |     return fn(*args, **kwargs)\n
2026-01-27  16:58:19.928 | info | 4p1sozwpapfp2k |   File "/usr/local/lib/python3.11/dist-packages/huggingface_hub/utils/_validators.py", line 89, in _inner_fn\n
2026-01-27  16:58:19.928 | info | 4p1sozwpapfp2k |            ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^\n
2026-01-27  16:58:19.928 | info | 4p1sozwpapfp2k |     pipe = ZImagePipeline.from_pretrained(\n
2026-01-27  16:58:19.926 | info | 4p1sozwpapfp2k |   File "/app/handler.py", line 10, in <module>\n
2026-01-27  16:58:19.926 | info | 4p1sozwpapfp2k | Traceback (most recent call last):\n
2026-01-27  16:58:18.017 | info | 4p1sozwpapfp2k | \rFetching 18 files:  22%|██▏       | 4/18 [02:45<11:20, 48.63s/it]\rFetching 18 files:  28%|██▊       | 5/18 [02:51<07:47, 35.93s/it]\rFetching 18 files:  67%|██████▋   | 12/18 [03:21<01:40, 16.79s/it]\n
2026-01-27  16:53:58.819 | info | 4p1sozwpapfp2k | \n
2026-01-27  16:53:58.819 | info | 4p1sozwpapfp2k | A copy of this license is made available in this container at /NGC-DL-CONTAINER-LICENSE for your convenience.\n
2026-01-27  16:53:58.819 | info | 4p1sozwpapfp2k | \n
2026-01-27  16:53:58.819 | info | 4p1sozwpapfp2k | https://developer.nvidia.com/ngc/nvidia-deep-learning-container-license\n
2026-01-27  16:53:58.819 | info | 4p1sozwpapfp2k | By pulling and using the container, you accept the terms and conditions of this license:\n
2026-01-27  16:53:58.819 | info | 4p1sozwpapfp2k | This container image and its contents are governed by the NVIDIA Deep Learning Container License.\n
2026-01-27  16:53:58.819 | info | 4p1sozwpapfp2k | \n
2026-01-27  16:53:58.819 | info | 4p1sozwpapfp2k | Container image Copyright (c) 2016-2023, NVIDIA CORPORATION & AFFILIATES. All rights reserved.\n
2026-01-27  16:53:58.819 | info | 4p1sozwpapfp2k | \n
